t_u,U
9.46,-0.172015873875143
9.48,-0.170809224331869
9.5,-0.16924937105836
9.52,-0.167235210362618
9.54,-0.164904525520881
9.56,-0.162395161197635
9.58,-0.159844936357441
9.6,-0.157391557280505
9.62,-0.155172530736785
9.64,-0.153054771164023
9.66,-0.150905262791324
9.68,-0.148591143546851
9.7,-0.145979788784175
9.72,-0.142938894774599
9.74,-0.139545331493947
9.76,-0.13587607511173
9.78,-0.132008237727086
9.8,-0.128018940107881
9.82,-0.123985341433343
9.84,-0.119865203992227
9.86,-0.11578985847289
9.88,-0.111890475323199
9.9,-0.107915192109975
9.92,-0.103612447391109
9.94,-0.0990897303057244
9.96,-0.0944545608641325
9.98,-0.0898143828151314
10,-0.0851537363950358
10.02,-0.0805626144247019
10.04,-0.0761308754064064
10.06,-0.0717477320473959
10.08,-0.0673024776942417
10.1,-0.062684595365343
10.12,-0.0577837488932688
10.14,-0.0524899308429888
10.16,-0.046693453192791
10.18,-0.0405419091350364
10.2,-0.0341829285061645
10.22,-0.0277641629862173
10.24,-0.0214331536385867
10.26,-0.0153372378729802
10.28,-0.00939574365147264
10.3,-0.00352802172397163
10.32,0.00216126606827507
10.34,0.00756767570084881
10.36,0.0125870466867089
10.38,0.0171155675516977
10.4,0.0213796836269342
10.42,0.0256057404185621
10.44,0.0300199192482566
10.46,0.0345332341676102
10.48,0.0390566868331035
10.5,0.0435014011471083
10.52,0.0477786008052818
10.54,0.0518925781009932
10.56,0.0558477240630676
10.58,0.0596485255843553
10.6,0.0632309269926296
10.62,0.0665310748632423
10.64,0.0694853581289554
10.66,0.0720304479964613
10.68,0.0743023021541135
10.7,0.0764369141832631
10.72,0.0785702276643679
10.74,0.0806251234697243
10.76,0.0825246486895742
10.78,0.0841919866077613
10.8,0.0857428805636703
10.82,0.0872930703329556
10.84,0.0889581406197083
10.86,0.0908535266799054
10.88,0.0928461379640059
10.9,0.0948029562705484
10.92,0.0965911196528127
10.94,0.0980780453628074
10.96,0.0993576574427121
10.98,0.100523916444234
11,0.101670760071118
11.02,0.102892043895726
11.04,0.104073693113214
11.06,0.105101772564431
11.08,0.10586251930684
11.1,0.106242492704834
11.12,0.106283801175554
11.14,0.106028724637227
11.16,0.105519687643944
11.18,0.104799193235843
11.2,0.10390987446706
11.22,0.102727506602879
11.24,0.101128135522717
11.26,0.0989881949253588
11.28,0.0963930005496852
11.3,0.0934280306073541
11.32,0.090178950094532
11.34,0.0867315173004163
11.36,0.0831714903507976
11.38,0.0795846515064893
11.4,0.0760566745409606
11.42,0.0726731492008648
11.44,0.0695194880341814
11.46,0.0666808334238496
11.48,0.0642420825462377
11.5,0.0622170806233061
11.52,0.0606194369703955
11.54,0.059462438200626
11.56,0.0587590793811012
11.58,0.058666465213657
11.6,0.0593411177344171
11.62,0.0605938964477358
11.64,0.0622354859145529
11.66,0.0640765154500824
11.68,0.0659276787361077
11.7,0.0675998532724528
11.72,0.0689042195923761
11.74,0.0698666405878268
11.76,0.0705131298261662
11.78,0.0708698741957186
11.8,0.0708389281133651
11.82,0.0703226499553288
11.84,0.0692238418371296
11.86,0.0676049272315898
11.88,0.0655285952507848
11.9,0.0630577608011508
11.92,0.060255524636076
11.94,0.0571038688992578
11.96,0.0535850144404401
11.98,0.0496814318002018
12,0.0455069262209915
12.02,0.0411753988572822
12.04,0.0368006963285743
12.06,0.0324966173391432
12.08,0.0283898620156776
12.1,0.0244273673503953
12.12,0.0205559933560421
12.14,0.0167226351330703
12.16,0.0129621098015328
12.18,0.00930915351495702
12.2,0.00589884276323522
12.22,0.00262644683461966
12.24,-0.000612746819515719
12.26,-0.00365423689327642
12.28,-0.00654748430676501
12.3,-0.00934203309293711
12.32,-0.011995782007045
12.34,-0.0145655961201307
12.36,-0.0171083755764121
12.38,-0.019680941194284
12.4,-0.0223400378932068
12.42,-0.0250390711527314
12.44,-0.0277314680573543
12.46,-0.0303707066780295
12.48,-0.0330062782108736
12.5,-0.0356876264381919
12.52,-0.0384641165604148
12.54,-0.0413850041089623
12.56,-0.0443617407566577
12.58,-0.0473058318904672
12.6,-0.0501288924274815
12.62,-0.0527427025056617
12.64,-0.0551779043786637
12.66,-0.0574652614929808
12.68,-0.0596355605034851
12.7,-0.0617196702539139
12.72,-0.0636668263504487
12.74,-0.0654264410918068
12.76,-0.0669480960093195
12.78,-0.0681952614076689
12.8,-0.0691316175922243
12.82,-0.0697211168082973
12.84,-0.069927927285618
12.86,-0.0697164948635321
12.88,-0.0692151137502385
12.9,-0.0685521715190488
12.92,-0.0678559895181329
12.94,-0.0672547811432903
12.96,-0.0667842464478988
12.98,-0.0664799278943006
13,-0.0662585074882355
13.02,-0.0660366986170495
13.04,-0.065731337820397
13.06,-0.0652593587301223
13.08,-0.0645378836358867
13.1,-0.0637836832806916
13.12,-0.063213370476268
13.14,-0.0626815740309705
13.16,-0.0620430445059772
13.18,-0.0611527065740599
13.2,-0.0601774340468365
13.22,-0.0592840259030214
13.24,-0.0586390226166239
13.26,-0.0584086404937615
13.28,-0.0584254515122272
13.3,-0.0585220398199981
13.32,-0.0585310681985989
13.34,-0.0585506696430302
13.36,-0.058678832648353
13.38,-0.0589077584818909
13.4,-0.0592295926318341
13.42,-0.0595863847375365
13.44,-0.0599202205968771
13.46,-0.0602293044816398
13.48,-0.060414513345618
13.5,-0.0603769019488217
13.52,-0.0600177651466411
13.54,-0.0592386999648408
13.56,-0.0579416674214096
13.58,-0.0562831622877605
13.6,-0.0544197110795003
13.62,-0.0525078124237852
13.64,-0.0507038775042024
13.66,-0.0491640529598419
13.68,-0.0480442010104809
13.7,-0.0471998445954354
13.72,-0.0464864778946166
13.74,-0.0457596575893482
13.76,-0.0450158163772389
13.78,-0.0442514405065589
13.8,-0.0432436736623978
13.82,-0.0423952084733022
13.84,-0.0417256777002882
13.86,-0.0412546206295914
13.88,-0.041001392390139
13.9,-0.0409852303595472
13.92,-0.0412251636965928
13.94,-0.0415449198353715
13.96,-0.0417683529343456
13.98,-0.0417195549564569
14,-0.0412229664874915
14.02,-0.0401034480027093
14.04,-0.0384659129934855
14.06,-0.0364154965768116
14.08,-0.0340574888968807
14.1,-0.0314972684957154
14.12,-0.0288402356949379
14.14,-0.0261917460307272
14.16,-0.0236570437839359
14.18,-0.0211436430679931
14.2,-0.0185591374781187
14.22,-0.0158112975713587
14.24,-0.0128080504760926
14.26,-0.00966944506757305
14.28,-0.0065155342724359
14.3,-0.00346622083016283
14.32,-0.000464690459110194
14.34,0.00254588342263795
14.36,0.00553868615898237
14.38,0.00848694125690071
14.4,0.0113639272531008
14.42,0.0141430337492698
14.44,0.0167451052568725
14.46,0.0190911775919695
14.48,0.0211025275360306
14.5,0.022962164719423
14.52,0.0248529714452439
14.54,0.0267775270250275
14.56,0.0287384260919784
14.58,0.0308860589841333
14.6,0.0331118108096046
14.62,0.0353071264938458
14.64,0.0373635792544191
14.66,0.0391729389259626
14.68,0.0406272400923727
14.7,0.0419856380955674
14.72,0.0435071276445239
14.74,0.0450809635923231
14.76,0.0465964398007551
14.78,0.0479430374346126
14.8,0.0492787220822915
14.82,0.0507612682771306
14.84,0.052548238521003
14.86,0.0545732107327338
14.88,0.0567696793128309
14.9,0.0590710972148725
14.92,0.0614109180007884
14.94,0.0637226378534998
14.96,0.065939837520436
14.98,0.0679962241615179
15,0.0699644344462106
15.02,0.0719171269476328
15.04,0.0739268578079066
15.06,0.0759099775167425
15.08,0.0777829374158756
15.1,0.0794623423451163
15.12,0.0808650031385931
15.14,0.0820913045537163
15.16,0.0832416418230928
15.18,0.084416396481027
15.2,0.0855445587945879
15.22,0.0865552590175218
15.24,0.0875504596901113
15.26,0.088631991465371
15.28,0.0899015673926461
15.3,0.0913005823938831
15.32,0.0927704085579592
15.34,0.0943739758431041
15.36,0.0961740273191886
15.38,0.0982331581840393
15.4,0.100423518787239
15.42,0.102617305092053
15.44,0.104686839317051
15.46,0.106504650417004
15.48,0.107943554352376
15.5,0.109126567317106
15.52,0.11017674345142
15.54,0.111217097115034
15.56,0.112190190389756
15.58,0.113038646314987
15.6,0.113705263491259
15.62,0.114132973576639
15.64,0.114264955622976
15.66,0.114176373420002
15.68,0.113942454482976
15.7,0.113638442494709
15.72,0.113339549785178
15.74,0.11298614897689
15.76,0.112518707019214
15.78,0.111877822679035
15.8,0.11100426391052
15.82,0.109990081621171
15.84,0.108927323006195
15.86,0.10783114089965
15.88,0.106814117201219
15.9,0.105988709932404
15.92,0.10519919014963
15.94,0.104289923509082
15.96,0.103105546869994
15.98,0.101491026888409
16,0.0995833211682843
16.02,0.097519395576768
16.04,0.0954362162047998
16.06,0.0934705844545095
16.08,0.091490391879584
16.1,0.0895277304249005
16.12,0.0876146487211523
16.14,0.0857831318948737
16.16,0.0839974656662393
16.18,0.0822219034738157
16.2,0.0804207675157084
16.22,0.0786102419823698
16.24,0.0768065007302928
16.26,0.0748976428483132
16.28,0.0727719462278682
16.3,0.0704666220208907
16.32,0.0680368418452751
16.34,0.0655378004559209
16.36,0.0630246808749757
16.38,0.0605526195645215
16.4,0.0580147311038553
16.42,0.0553042398100863
16.44,0.052427854444832
16.46,0.0493923425435512
16.48,0.0462046045244611
16.5,0.0428966525205374
16.52,0.039500542394395
16.54,0.0360443922074264
16.56,0.0325563296733991
16.58,0.029064513610967
16.6,0.0254714935594961
16.62,0.0219421292607253
16.64,0.0186411138366026
16.66,0.0157327915392165
16.68,0.0131252204208363
16.7,0.0107263610419726
16.72,0.00844409545698692
16.74,0.00618636389104489
16.76,0.00386118358215304
16.78,0.00145957923968447
16.8,-0.00102736715922877
16.82,-0.00360855001724354
16.84,-0.0062558105754377
16.86,-0.00888853912959323
16.88,-0.0114262161470887
16.9,-0.013943226258789
16.92,-0.0165138531810445
16.94,-0.019212272139293
16.96,-0.0221125423677682
16.98,-0.0252884820291169
17,-0.0286885483612606
17.02,-0.0322611481132742
17.04,-0.0359545917282921
17.06,-0.0396159377366293
17.08,-0.0434289678811924
17.1,-0.0473707278921881
17.12,-0.0514181660721215
17.14,-0.055548187167375
17.16,-0.0597812015100351
17.18,-0.0641375339003102
17.2,-0.0686373716403832
17.22,-0.0733008303681435
17.24,-0.0781073484337077
17.26,-0.083036294528931
17.28,-0.0880669415624296
17.3,-0.0931785582821822
17.32,-0.0983503831478386
17.34,-0.103479000326647
17.36,-0.108461164397469
17.38,-0.113193786921668
17.4,-0.117574079809524
17.42,-0.121499541471829
17.44,-0.125040590502321
17.46,-0.128267778211571
17.48,-0.131251822392531
17.5,-0.134063484065889
17.52,-0.136773601203137
17.54,-0.139452965486018
17.56,-0.142081012054707
17.58,-0.144637229111831
17.6,-0.14710117081902
17.62,-0.149452470138849
17.64,-0.151670851614129
17.66,-0.15374461565826
17.68,-0.155659498763397
17.7,-0.157401391281484
17.72,-0.158956267737036
17.74,-0.160370673277971
17.76,-0.161691194967959
17.78,-0.162964432332159
17.8,-0.164146643606625
17.82,-0.165194227667794
17.84,-0.16606367297761
17.86,-0.166798497117155
17.88,-0.167442298152506
17.9,-0.168038648588198
17.92,-0.168631146324539
17.94,-0.169156433387907
17.96,-0.169551257899668
17.98,-0.169752513902847
18,-0.169841650928437
18.02,-0.16990006823118
18.04,-0.170009102669984
18.06,-0.170121530983838
18.08,-0.170190175219204
18.1,-0.170167932469687
18.12,-0.170045965876477
18.14,-0.169815549639752
18.16,-0.169468035195722
18.18,-0.168994817378897
18.2,-0.168387418251818
18.22,-0.167637413889078
18.24,-0.166736518081968
18.26,-0.165676508990914
18.28,-0.164444331735838
18.3,-0.163027053250458
18.32,-0.161411870325012
18.34,-0.159586078338638
18.36,-0.157537157621787
18.38,-0.155252741954227
18.4,-0.152707683523825
18.42,-0.149877024340592
18.44,-0.14681500145833
18.46,-0.143575943501741
18.48,-0.140214236274729
18.5,-0.136784288367158
18.52,-0.133340536002066
18.54,-0.129844064360232
18.56,-0.126256031007873
18.58,-0.122537651126301
18.6,-0.118797180350983
18.62,-0.115142779488433
18.64,-0.111682446325542
18.66,-0.108344122600255
18.68,-0.105055745425874
18.7,-0.101745253571412
18.72,-0.0983407113954473
18.74,-0.0947703149152972
18.76,-0.0909624370072658
18.78,-0.0869772172881633
18.8,-0.0828748861290301
18.82,-0.0787156480976927
18.84,-0.0745596831955855
18.86,-0.0704660499408384
18.88,-0.0664936689367296
18.9,-0.0627013250317726
18.92,-0.0590007895932643
18.94,-0.0553038254586374
18.96,-0.0515223210920179
18.98,-0.0476559249841415
19,-0.0437043395742678
19.02,-0.0396673213838341
19.04,-0.0354442379640649
19.06,-0.0310977141798532
19.08,-0.0266903899028521
19.1,-0.0222848804495061
19.12,-0.0179437370743367
19.14,-0.0137294075433705
19.16,-0.00963281589248172
19.18,-0.00564482094479523
19.2,-0.00177167493995821
19.22,0.00198044867308692
19.24,0.00560545905446207
19.26,0.00920807060234962
19.28,0.012892906638645
19.3,0.0167644334478613
19.32,0.0207713076079475
19.34,0.024862191057408
19.36,0.0289857050609799
19.38,0.0330905019081012
19.4,0.0371253365197505
19.42,0.0410390202576819
19.44,0.0447805316255834
19.46,0.0484489482449834
19.48,0.0521432943312062
19.5,0.0559624782293508
19.52,0.0600052300861862
19.54,0.0642102562530974
19.56,0.0685162222197772
19.58,0.0728617521577653
19.6,0.0771855461513882
19.62,0.0814263796021218
19.64,0.085523141806287
19.66,0.0894148352017911
19.68,0.0930892469187912
19.7,0.0965342743167425
19.72,0.099738128615917
19.74,0.102689145923303
19.76,0.105375872911539
19.78,0.107815116342554
19.8,0.110023822336374
19.82,0.112048049323534
19.84,0.113933965143621
19.86,0.11572773934728
19.88,0.117475592486511
19.9,0.119152072200336
19.92,0.120731796763136
19.94,0.122189471038103
19.96,0.123499902360006
19.98,0.12473932233534
20,0.125983970025137
20.02,0.127310004584617
20.04,0.128793418041078
20.06,0.130510065925793
20.08,0.132416938936101
20.1,0.134470911668776
20.12,0.136628848403932
20.14,0.138847591128296
20.16,0.141076731052014
20.18,0.143265942692357
20.2,0.145364976342091
20.22,0.147323650497563
20.24,0.149091961912199
20.26,0.150620038545738
20.28,0.151858249359045
20.3,0.152882701099945
20.32,0.153769558997938
20.34,0.154594998619481
20.36,0.155435118544843
20.38,0.156365970842147
20.4,0.15746347387932
20.42,0.158651150599396
20.44,0.159852543859891
20.46,0.160991264683046
20.48,0.161991040414546
20.5,0.162775723540125
20.52,0.163269418075169
20.54,0.163563213442314
20.56,0.163748233740935
20.58,0.163915580182256
20.6,0.164156273596754
20.62,0.164561197050076
20.64,0.165057058588938
20.66,0.165570582491538
20.68,0.166028555512944
20.7,0.166357873044574
20.72,0.166485624378993
20.74,0.166339060105756
20.76,0.165845677099047
20.78,0.164933264044136
20.8,0.163529946733869
20.82,0.161771747638628
20.84,0.159794776602917
20.86,0.157735144826336
20.88,0.155728918150429
20.9,0.153911952760238
20.92,0.152234925196937
20.94,0.15064847321416
20.96,0.149103226981208
20.98,0.147592119727707
21,0.146108109451078
21.02,0.144644104896963
21.04,0.143105783390493
21.06,0.141398963951723
21.08,0.139592313138162
21.1,0.137754491538125
21.12,0.135954071208445
21.14,0.134259570911909
21.16,0.132739373692064
21.18,0.131338179157044
21.2,0.130000667350233
21.22,0.128671533695477
21.24,0.127295563117757
21.26,0.125817586372031
21.28,0.124182554047863
21.3,0.122364947197788
21.32,0.120339387782009
21.34,0.118080615328631
21.36,0.115563581203985
21.38,0.112763424993616
21.4,0.109756246922523
21.42,0.10661820145048
21.44,0.103352381746068
21.46,0.0999619193181906
21.48,0.0964500212208066
21.5,0.0928514618417268
21.52,0.0892010353398011
21.54,0.0855335336582005
21.56,0.0818128927251549
21.58,0.0780031182550319
21.6,0.0740683084027523
21.62,0.0699726763370802
21.64,0.065680533498334
