t_norm,t,f
37.503080082135526,1984-10-01,3.3
37.75496235455168,1985-01-01,3.9
38.001368925393564,1985-04-01,3.6
38.25051334702259,1985-07-01,6.3
38.502395619438744,1985-10-01,3.0
38.75427789185489,1986-01-01,3.8
39.00068446269678,1986-04-01,1.8
39.2498288843258,1986-07-01,3.9
39.501711156741955,1986-10-01,2.2
39.75359342915811,1987-01-01,3.0
40.0,1987-04-01,4.4
40.24914442162902,1987-07-01,3.5
40.50102669404517,1987-10-01,7.0
40.75290896646133,1988-01-01,2.1
41.002053388090346,1988-04-01,5.4
41.25119780971937,1988-07-01,2.4
41.503080082135526,1988-10-01,5.4
41.75496235455168,1989-01-01,4.1
42.001368925393564,1989-04-01,3.1
42.25051334702259,1989-07-01,3.0
42.502395619438744,1989-10-01,0.8
42.75427789185489,1990-01-01,4.4
43.00068446269678,1990-04-01,1.5
43.2498288843258,1990-07-01,0.3
43.501711156741955,1990-10-01,-3.6
43.75359342915811,1991-01-01,-1.9
44.0,1991-04-01,3.2
44.24914442162902,1991-07-01,2.0
44.50102669404517,1991-10-01,1.4
44.75290896646133,1992-01-01,4.9
45.002053388090346,1992-04-01,4.4
45.25119780971937,1992-07-01,4.0
45.503080082135526,1992-10-01,4.2
45.75496235455168,1993-01-01,0.7
46.001368925393564,1993-04-01,2.3
46.25051334702259,1993-07-01,1.9
46.502395619438744,1993-10-01,5.6
46.75427789185489,1994-01-01,3.9
47.00068446269678,1994-04-01,5.5
47.2498288843258,1994-07-01,2.4
47.501711156741955,1994-10-01,4.7
47.75359342915811,1995-01-01,1.4
48.0,1995-04-01,1.2
48.24914442162902,1995-07-01,3.5
48.50102669404517,1995-10-01,2.7
48.75290896646133,1996-01-01,3.0
49.002053388090346,1996-04-01,6.8
49.25119780971937,1996-07-01,3.6
49.503080082135526,1996-10-01,4.2
49.75496235455168,1997-01-01,2.6
50.001368925393564,1997-04-01,6.8
50.25051334702259,1997-07-01,5.1
50.502395619438744,1997-10-01,3.5
50.75427789185489,1998-01-01,4.1
51.00068446269678,1998-04-01,3.8
51.2498288843258,1998-07-01,5.1
51.501711156741955,1998-10-01,6.6
51.75359342915811,1999-01-01,3.8
52.0,1999-04-01,3.4
52.24914442162902,1999-07-01,5.4
52.50102669404517,1999-10-01,6.7
52.75290896646133,2000-01-01,1.5
53.002053388090346,2000-04-01,7.5
53.25119780971937,2000-07-01,0.4
53.503080082135526,2000-10-01,2.4
53.75496235455168,2001-01-01,-1.3
54.001368925393564,2001-04-01,2.5
54.25051334702259,2001-07-01,-1.6
54.502395619438744,2001-10-01,1.1
54.75427789185489,2002-01-01,3.4
55.00068446269678,2002-04-01,2.5
55.2498288843258,2002-07-01,1.6
55.501711156741955,2002-10-01,0.5
55.75359342915811,2003-01-01,2.1
56.0,2003-04-01,3.6
